Document_ID1	Document_ID2	Cosine Similarity
3553	3556	0.859859799840892
3285	6851	0.8102898030691339
6467	6468	0.8821760679712
5974	2877	1.0
1336	8369	1.0000000000000002
6922	6932	1.0
8729	8643	0.9353207891222707
1795	14183	0.9221631025689158
1795	1766	0.8745352414786688
1795	1785	0.8110156421681192
14183	1766	0.9363027779057329
14183	1785	0.8235081967584054
3114	3100	0.9178612055741608
867	876	0.8082670070037551
3086	3087	0.8304972599920507
10725	10693	0.9251489732952002
315	312	0.9666878522985483
304	299	0.8683338212152933
8282	8281	0.9431876107940257
7885	13926	0.8060591376503284
1118	1117	0.8042498832302729
5342	5340	0.9657371687993973
14702	14707	0.9427294462289204
8716	8719	0.8558245394013415
4637	4636	0.818548578213036
4038	4614	0.9541904126078253
15312	15310	1.0
3955	3988	1.0
11817	12024	1.0
5140	5166	1.0
4763	4733	1.0
5155	13340	1.0
4815	4834	1.0
6319	15211	1.0
9825	9821	1.0000000000000002
3320	3319	0.8236730920159931
2846	2847	0.8273378114728062
2846	2858	0.8115845957479487
2846	2848	0.854924933653246
1700	1697	0.8516145525455573
14341	3400	0.9114156854410175
14242	14245	1.0000000000000002
11106	14915	0.8916042855410102
11318	11317	0.9203393953440983
11318	11312	0.8129218644677029
2344	2333	0.8586811503206838
2847	2858	0.8105211882936015
2847	2848	0.8654003900388048
763	1312	0.8003823699799206
2758	229	0.8197926414595295
2758	231	0.8884429770384649
3531	3536	0.8531042178290861
2931	2912	1.0000000000000002
9480	9478	0.9924182586563108
2858	2848	0.8641129173100695
7354	7358	0.8321204237266557
8734	8607	0.8336240223333371
14146	1271	0.8984683396793791
7398	7399	0.802817472638359
7398	7412	0.8789779775554909
8907	8902	0.917815131682413
9798	2455	0.8640432101159837
2911	2922	1.0
901	899	0.9196323832310374
7476	7477	0.812795454450859
9052	9096	0.840059581207912
2298	2284	0.9394957914356673
2298	2287	0.8374572156299449
2527	2512	0.8824522083552342
7739	3338	0.8126691694099186
4153	4173	0.8992351075754433
7579	7546	0.8399774586202117
11222	7632	0.9434645362079696
7818	7811	0.9510827263732136
9974	9972	0.9182882788355113
9969	9963	0.885419540580037
229	231	0.8382463874478637
2762	2761	0.8002516063775825
2762	2764	0.8534385956657828
2802	2792	0.9438235736483164
11383	11345	0.9953162342611264
14566	7134	0.8402019600048207
11317	11312	0.8667664215054438
2412	2421	0.8419709804759384
8784	8780	0.8808634199734298
7841	7825	0.9438544895967543
7860	8426	0.8269280147895184
2975	8579	0.85897028161254
11311	11303	0.8879501440924099
11478	11487	0.8201528259352286
11478	8795	0.8068524176194265
11478	11476	0.8194615396884589
2284	2287	0.8337080690811197
2400	2386	0.9020610902223645
2501	2503	0.8321435303523791
3316	3314	0.8946711531070908
11125	11134	0.8708263292284252
7842	7608	0.8667079275948391
2985	8579	0.8083120435968197
14237	2367	0.9206055404480691
11309	11304	0.8003729777220987
14873	11134	0.9096062201917662
9947	9948	0.8791476033710238
7809	7811	0.8024808955054342
15144	15145	0.8769170974708138
14169	10950	0.8700257702451968
15185	1948	0.8299486739904692
12928	9473	0.8767922163478353
9054	9029	0.8079205991822106
424	414	1.0000000000000002
13151	5234	1.0
364	371	1.0
8901	8900	1.0000000000000002
448	451	0.8524433489415182
6527	6528	0.9600948421792082
4264	613	0.8156374424179994
3026	3018	1.0
6435	6183	0.8697297610553627
